y,x1
0.038116834,0
0.896467788,0.005555556
0.159545792,0.011111111
0.863764416,0.016666667
1.106349076,0.022222222
1.010169458,0.027777778
0.278498289,0.033333333
1.114230685,0.038888889
1.029803908,0.044444444
0.373869889,0.05
0.971634374,0.055555556
0.975376766,0.061111111
1.079774246,0.066666667
1.242790434,0.072222222
0.644698738,0.077777778
0.656177067,0.083333333
1.09549189,0.088888889
1.115274736,0.094444444
1.512547878,0.1
0.639395626,0.105555556
1.406626554,0.111111111
1.172479286,0.116666667
0.909355558,0.122222222
1.067679037,0.127777778
1.603060114,0.133333333
1.367903685,0.138888889
1.33589162,0.144444444
1.154715122,0.15
1.639812358,0.155555556
1.076194041,0.161111111
0.936282236,0.166666667
1.412852798,0.172222222
1.201522004,0.177777778
1.678212032,0.183333333
1.291971414,0.188888889
1.067402402,0.194444444
1.66282043,0.2
1.187718257,0.205555556
1.303377452,0.211111111
1.865358803,0.216666667
1.78084583,0.222222222
1.019681203,0.227777778
1.949825682,0.233333333
1.413832038,0.238888889
1.74919167,0.244444444
1.957547147,0.25
1.341419455,0.255555556
1.283668559,0.261111111
1.181764498,0.266666667
1.286959914,0.272222222
1.051659974,0.277777778
1.953094985,0.283333333
1.107247505,0.288888889
1.364103081,0.294444444
1.454674713,0.3
1.066969367,0.305555556
1.198282657,0.311111111
1.860843713,0.316666667
1.191056211,0.322222222
1.321826196,0.327777778
1.105463259,0.333333333
1.173277981,0.338888889
1.15207952,0.344444444
0.968602131,0.35
1.691026348,0.355555556
1.546069259,0.361111111
1.723096201,0.366666667
0.851330624,0.372222222
1.089487982,0.377777778
1.335127045,0.383333333
1.138544201,0.388888889
1.448005349,0.394444444
0.61822099,0.4
0.584619909,0.405555556
0.975505109,0.411111111
1.455592127,0.416666667
1.436521673,0.422222222
1.356698484,0.427777778
1.011895208,0.433333333
0.926658053,0.438888889
1.210013523,0.444444444
0.483874867,0.45
0.681229232,0.455555556
0.727159853,0.461111111
0.440949973,0.466666667
0.267170438,0.472222222
0.389607699,0.477777778
0.773573001,0.483333333
0.528901432,0.488888889
0.329883372,0.494444444
0.969559747,0.5
0.499112482,0.505555556
-0.004639146,0.511111111
0.611914113,0.516666667
0.035749545,0.522222222
0.402613462,0.527777778
0.547504328,0.533333333
-0.206188868,0.538888889
0.352100955,0.544444444
0.375168745,0.55
0.248269799,0.555555556
-0.119413678,0.561111111
-0.122685014,0.566666667
-0.377688955,0.572222222
-0.450889557,0.577777778
0.01875572,0.583333333
-0.345982994,0.588888889
-0.51024204,0.594444444
-0.490313282,0.6
0.364524501,0.605555556
0.017563849,0.611111111
-0.099524166,0.616666667
0.016269368,0.622222222
-0.155192104,0.627777778
-0.640436834,0.633333333
-0.411547667,0.638888889
-0.558317278,0.644444444
0.053117313,0.65
-0.761065656,0.655555556
-0.587306208,0.661111111
-0.196029613,0.666666667
-0.402759558,0.672222222
-0.105779703,0.677777778
-0.265980426,0.683333333
-0.587414775,0.688888889
-0.052047752,0.694444444
-0.666009077,0.7
0.020429529,0.705555556
-0.913520671,0.711111111
-0.532020704,0.716666667
-0.212186434,0.722222222
-0.949542239,0.727777778
-0.240970514,0.733333333
-0.573555896,0.738888889
-0.81711086,0.744444444
-0.785044566,0.75
-0.442377445,0.755555556
-0.337175184,0.761111111
-0.151971324,0.766666667
-0.894971378,0.772222222
-0.348303923,0.777777778
-0.461252012,0.783333333
-0.308229373,0.788888889
-0.242180888,0.794444444
-0.504279265,0.8
-0.132916864,0.805555556
-0.478445812,0.811111111
-0.727823582,0.816666667
-0.314044339,0.822222222
-0.099961372,0.827777778
-0.702985476,0.833333333
-0.467856455,0.838888889
0.030805087,0.844444444
-0.297176694,0.85
0.180031734,0.855555556
-0.247038917,0.861111111
0.14063089,0.866666667
-0.187714801,0.872222222
0.106210819,0.877777778
0.159681589,0.883333333
-0.415848436,0.888888889
-0.27000218,0.894444444
0.408874603,0.9
-0.201118778,0.905555556
-0.424356591,0.911111111
0.458624872,0.916666667
0.375138054,0.922222222
0.13096512,0.927777778
0.16210412,0.933333333
-0.321928372,0.938888889
-0.293533371,0.944444444
0.484028714,0.95
0.238120044,0.955555556
0.111392008,0.961111111
0.285732912,0.966666667
0.718344567,0.972222222
0.48909808,0.977777778
-0.063475634,0.983333333
0.290459208,0.988888889
0.555742502,0.994444444
0.337475606,1
